command	val_loss_mean	val_loss_std	val_acc_mean	val_acc_std	test_acc_mean	test_acc_std	duration_mean	duration_std	runs
sgc.py --K=2 --dataset=PubMed --weight_decay=0.0005	0.8902873396873474	4.42860300609027e-06	0.7720000743865967	5.990492013552284e-08	0.7749999761581421	0.0	0.7415392398834229	0.10763053596019745	100
sgc.py --K=2 --dataset=PubMed --random_splits --weight_decay=0.0005	0.9147011041641235	0.01527436263859272	0.756320059299469	0.03137742727994919	0.7559601068496704	0.025521203875541687	0.6976600885391235	0.1286013126373291	100
arma.py --dataset=PubMed --num_layers=1 --num_stacks=2 --skip_dropout=0	0.5664936900138855	0.005284765735268593	0.7939200401306152	0.004972002934664488	0.7865500450134277	0.0037372708320617676	5.330148696899414	0.15935945510864258	100
arma.py --dataset=PubMed --num_layers=1 --num_stacks=2 --random_splits --skip_dropout=0.5	0.6021462082862854	0.05746103823184967	0.7703800201416016	0.03682302311062813	0.7697100043296814	0.033153239637613297	5.567265510559082	0.17375688254833221	100
appnp.py --alpha=0.1 --dataset=PubMed	0.5294625759124756	0.004345282446593046	0.8199199438095093	0.005124077666550875	0.8014499545097351	0.0023110390175133944	1.1673640012741089	0.1662805676460266	100
appnp.py --alpha=0.1 --dataset=PubMed --random_splits	0.5566679239273071	0.04033476114273071	0.7912200093269348	0.026363270357251167	0.7923000454902649	0.020292555913329124	1.2219741344451904	0.17370940744876862	100
gcn.py --batch_norm --dataset=Arxiv --no_normalize_features --runs=20	1.1958048343658447	0.02023669146001339	0.6593844890594482	0.0047590299509465694	0.651634693145752	0.006646708585321903	9.756482124328613	1.2919801473617554	20
gat.py --batch_norm --dataset=Arxiv --no_normalize_features --runs=20	1.216680884361267	0.0025114761665463448	0.6469294428825378	0.0010997861390933394	0.64448082447052	0.003072259947657585	100.95567321777344	0.7210404276847839	20
cheb.py --dataset=Arxiv --no_normalize_features --num_hops=2 --runs=20	1.3705523014068604	0.05988025292754173	0.622972309589386	0.013259707018733025	0.6106053590774536	0.01392096746712923	58.924285888671875	2.5736594200134277	20
sgc.py --K=2 --dataset=Arxiv --no_normalize_features --runs=20 --weight_decay=0.0005	1.6176080703735352	0.0003749353054445237	0.6040722727775574	0.00012166466331109405	0.5934777855873108	0.000134273839648813	2.862318754196167	0.2225051075220108	20
arma.py --dataset=Arxiv --no_normalize_features --num_layers=1 --num_stacks=2 --runs=20 --skip_dropout=0	1.3087079524993896	0.014427775517106056	0.638541579246521	0.0024520820006728172	0.6290115714073181	0.0028198910877108574	95.68631744384766	7.2033233642578125	20
appnp.py --alpha=0.1 --dataset=Arxiv --no_normalize_features --runs=20	1.279579758644104	0.01227240078151226	0.650327205657959	0.0035654488019645214	0.639410138130188	0.004652638453990221	83.23761749267578	5.8563079833984375	20
